tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-12-26,2022-01-10,2022-01-10,1,HongKong/HK-HKPU-12955/2022|2022-01-10,Sweden/PEP086099/2022|2022-01-17,2022.043836,0,15.01913916
2021-12-03,2022-01-10,2022-01-10,1,HongKong/HK-HKPU-12958/2022|2022-01-10,Denmark/DCGC-284490/2021|2021-12-14,2021.950685,0,37.57890219
2022-01-04,2022-01-10,2022-01-10,1,HongKong/HK-HKPU-12960/2022|2022-01-10,Peru/LIM-13849/2022|2022-01-24,2022.063014,0,5.864417541
2022-01-02,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12965/2022|2022-01-11,Japan/IC-2938/2021|2021-12-30,2021.994521,0,8.580651752
2021-12-29,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12966/2022|2022-01-11,Bonaire/BQ-RIVM-79993/2021|2021-12-28,2021.989041,0,12.8183134
2022-01-06,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12971/2022|2022-01-11,Italy/LAZ-AMC-2201242452-DS/2022|2022-01-24,2022.063014,0,5.175885682
2021-12-28,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12972/2022|2022-01-11,Denmark/DCGC-315112/2021|2021-12-30,2021.994521,0,13.85484194
2021-12-13,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12973/2022|2022-01-11,Kenya/SS6677/2022|2022-01-20,2022.052055,0,28.35825983
2021-12-11,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12974/2022|2022-01-11,Nigeria/ISTH-E0033/2022|2022-01-07,2022.016438,0,30.77315566
2021-12-28,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12975/2022|2022-01-11,USA/HI-CDC-ASC210751364/2022|2022-02-22,2022.142466,0,13.48102157
2021-12-12,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12976/2022|2022-01-11,Seychelles/SS5493/2021|2021-12-13,2021.947945,0,29.64371412
2021-12-12,2022-01-11,2022-01-11,1,HongKong/HK-HKPU-12984/2022|2022-01-11,Finland/THL-202133419/2021|2021-12-27,2021.986301,0,30.20031665
2021-12-28,2022-01-12,2022-01-12,1,HongKong/HK-HKPU-12992/2022|2022-01-12,HongKong/HKU-220213-356/2022|2022-01-13,2022.032877,0,14.90360572
2022-01-06,2022-01-12,2022-01-12,1,HongKong/HK-HKPU-13001/2022|2022-01-12,HongKong/HK-HKPU-13002/2022|2022-01-12,2022.030137,0,5.518023558
2021-12-13,2022-01-13,2022-01-13,1,HongKong/HK-HKPU-13018/2022|2022-01-13,Greece/320413/2021|2021-12-27,2021.986301,0,30.49933154
2021-11-18,2022-01-13,2022-01-13,1,HongKong/HK-HKPU-13020/2022|2022-01-13,Romania/B-39759/2021|2021-12-30,2021.994521,0,55.52129571
2022-01-07,2022-01-13,2022-01-13,1,HongKong/HK-HKPU-13021/2022|2022-01-13,HongKong/HK-HKPU-12960/2022|2022-01-10,2022.024658,0,5.953056497
2021-12-24,2022-01-14,2022-01-14,1,HongKong/HK-HKPU-13028/2022|2022-01-14,Malaysia/TIDREC-NSC646/2021|2021-12-23,2021.975342,0,20.73311186
2022-01-05,2022-01-14,2022-01-14,1,HongKong/HK-HKPU-13030/2022|2022-01-14,HongKong/HK-HKPU-12971/2022|2022-01-11,2022.027397,0,8.977024611
2022-01-06,2022-01-15,2022-01-15,1,HongKong/HK-HKPU-13034/2022|2022-01-15,Croatia/29170/2022|2022-02-07,2022.10137,0,9.071931813
2022-01-07,2022-01-16,2022-01-16,1,HongKong/HK-HKPU-13036/2022|2022-01-16,Finland/THL-202202769/2022|2022-01-15,2022.038356,0,8.911439998
2021-12-14,2022-01-16,2022-01-16,1,HongKong/HK-HKPU-13038/2022|2022-01-16,Turkey/HSGM-F11246/2021|2021-12-22,2021.972603,0,32.63748959
2021-12-12,2022-01-16,2022-01-16,1,HongKong/HK-HKPU-13041/2022|2022-01-16,Reunion/CHU722010579101/2022|2022-01-06,2022.013699,0,34.53708308
2022-01-08,2022-01-16,2022-01-16,1,HongKong/HK-HKPU-13042/2022|2022-01-16,Argentina/PAIS-E0893/2022|2022-02-03,2022.090411,0,7.694387152
2021-12-05,2022-01-16,2022-01-16,1,HongKong/HK-HKPU-13043/2022|2022-01-16,HongKong/HK-HKPU-13095/2022|2022-01-20,2022.052055,0,41.92686122
2021-12-30,2022-01-17,2022-01-17,1,HongKong/HK-HKPU-13048/2022|2022-01-17,Belgium/CHUNamur13920914/2021|2021-12-31,2021.99726,0,17.22482755
2022-01-06,2022-01-17,2022-01-17,1,HongKong/HK-HKPU-13049/2022|2022-01-17,Benin/NMIMR-260/2021|2021-12-16,2021.956164,0,10.95652787
2021-12-21,2022-01-17,2022-01-17,1,HongKong/HK-HKPU-13050/2022|2022-01-17,Finland/P-30/2021|2021-12-30,2021.994521,0,26.80319923
2022-01-03,2022-01-18,2022-01-18,1,HongKong/HK-HKPU-13055/2022|2022-01-18,Tunisia/49690/2022|2022-01-28,2022.073973,0,14.60783251
2021-12-28,2022-01-18,2022-01-18,1,HongKong/HK-HKPU-13057/2022|2022-01-18,Russia/KL-RII-MH67340S/2022|2022-02-07,2022.10137,0,21.01946305
2021-12-21,2022-01-18,2022-01-18,1,HongKong/HK-HKPU-13058/2022|2022-01-18,Slovenia/579641/2021|2021-12-23,2021.975342,0,27.27095658
2021-12-24,2022-01-18,2022-01-18,1,HongKong/HK-HKPU-13060/2022|2022-01-18,Malaysia/A384/2021|2021-12-24,2021.978082,0,24.36791143
2021-12-21,2022-01-20,2022-01-20,1,HongKong/HK-HKPU-13089/2022|2022-01-20,Hubei/IVDC-553/2022|2022-02-21,2022.139726,0,29.21438879
2022-01-05,2022-01-20,2022-01-20,1,HongKong/HK-HKPU-13095/2022|2022-01-20,Germany/NW-RKI-I-530822/2022|2022-02-05,2022.09589,0,15.10411529
2021-12-05,2022-01-20,2022-01-20,1,HongKong/HK-HKPU-13096/2022|2022-01-20,Montenegro/CO-00688_MNE000_1020142202/2022|2022-01-04,2022.008219,0,45.32930508
