tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2022-01-08,2022-01-15,2022-01-16,2,HongKong/CM22000144/2022|2022-01-15;HongKong/HK-HKPU-13040/2022|2022-01-16,Thailand/Bangkok-CONI-1696/2022|2022-01-13,2022.03287671233,1.00000000006844,7.15713203215614
2022-01-04,2022-01-12,2022-01-12,2,HongKong/WHP5480/2022|2022-01-12;HongKong/HK-HKPU-12997/2022|2022-01-12,Cambodia/903689/2022|2022-01-12,2022.0301369863,0,7.36634344752247
2021-10-25,2022-01-15,2022-02-13,118,hamster/HongKong/SAD0022-S1/2022|2022-01-18;hamster/HongKong/SAD0023-S2/2022|2022-01-18;HongKong/HK-HKPU-13281/2022|2022-01-23;hamster/HongKong/SAD0026-S5/2022|2022-01-18;HongKong/VM22002974/2022|2022-01-17;HongKong/VM22003089/2022|2022-01-19;HongKong/WHP5186-S1-iseq/2022|2022-01-17;hamster/HongKong/WHP5235-S6/2022|2022-01-17;hamster/HongKong/WHP5230-S3/2022|2022-01-17;env/HongKong/CH22006536-1/2022|2022-01-17;hamster/HongKong/SAD0058-S8/2022|2022-01-18;HongKong/HKU-220213-369/2022|2022-01-20;HongKong/HK-HKPU-13047/2022|2022-01-17;hamster/HongKong/SAD0034-S7/2022|2022-01-18;HongKong/WHP5499-S6-iseq/2022|2022-01-22;HongKong/WHP5492-S1-iseq/2022|2022-01-21;HongKong/CH22007659/2022|2022-01-19;HongKong/HK-HKPU-13282/2022|2022-01-23;HongKong/HK-HKPU-13590/2022|2022-01-26;hamster/HongKong/WHP5233-S4/2022|2022-01-17;hamster/HongKong/SAD0033-S6/2022|2022-01-18;HongKong/CH22008598/2022|2022-01-21;HongKong/WHP5497-S5-iseq/2022|2022-01-21;HongKong/VM22005480/2022|2022-01-29;HongKong/VM22004694/2022|2022-01-26;HongKong/VM22004608/2022|2022-01-26;HongKong/HK-HKPU-13370/2022|2022-01-24;HongKong/HK-HKPU-13120/2022|2022-01-21;HongKong/HKU-220213-367/2022|2022-01-20;HongKong/VM22002489/2022|2022-01-15;HongKong/WHP5403-S10-iseq/2022|2022-01-17;HongKong/HK-HKPU-PU22MB306540/2022|2022-02-09;HongKong/HK-HKPU-13531/2022|2022-01-26;HongKong/VM22007977R2/2022|2022-02-05;HongKong/VM22003137/2022|2022-01-19;HongKong/VM22003606/2022|2022-01-21;HongKong/WHP5506-S12-iseq/2022|2022-01-24;HongKong/WHP5515-S15-iseq/2022|2022-01-25;HongKong/WHP5404-S11-iseq/2022|2022-01-18;HongKong/VM22002660/2022|2022-01-18;HongKong/VM22003266/2022|2022-01-20;HongKong/VM22002960/2022|2022-01-18;HongKong/HK-HKPU-PU22TM234802/2022|2022-02-04;HongKong/HK-HKPU-PU22MB306541/2022|2022-02-09;HongKong/HK-HKPU-13539/2022|2022-01-26;HongKong/WHP5507-S13-iseq/2022|2022-01-24;HongKong/HKU-220213-411/2022|2022-01-24;HongKong/HK-HKPU-PU22TM228282/2022|2022-01-28;HongKong/VM22005481/2022|2022-01-29;HongKong/WHP5508-S5-iseq/2022|2022-01-24;HongKong/HK-HKPU-13147/2022|2022-01-22;HongKong/HK-HKPU-13516/2022|2022-01-25;HongKong/HKU-220213-409/2022|2022-01-23;HongKong/HKU-220121-001/2022|2022-01-17;HongKong/VM22004612/2022|2022-01-26;HongKong/HKU-220326-130/2022|2022-01-25;HongKong/HKU-220326-065/2022|2022-01-30;HongKong/HK-HKPU-PU22V2374516/2022|2022-02-02;HongKong/WHP5529-S19-iseq/2022|2022-01-26;HongKong/HK-HKPU-PU22TM237573/2022|2022-02-07;HongKong/HK-HKPU-13381/2022|2022-01-24;HongKong/HK-HKPU-13502/2022|2022-01-25;HongKong/VM22003571/2022|2022-01-20;HongKong/HKU-220121-002/2022|2022-01-18;HongKong/WHP5403/2022|2022-01-18;HongKong/VM22006327/2022|2022-02-02;HongKong/HK-HKPU-PU22TM235698/2022|2022-02-07;HongKong/HK-HKPU-PU22TM236263/2022|2022-02-07;HongKong/HK-HKPU-PU22MB306432/2022|2022-02-09;HongKong/HK-HKPU-PU22TM236269/2022|2022-02-07;HongKong/HK-HKPU-PU22TM232297/2022|2022-02-04;HongKong/WHP5524-S16-iseq/2022|2022-01-26;HongKong/VM22004607/2022|2022-01-26;HongKong/HK-HKPU-13390/2022|2022-01-24;HongKong/HKU-220213-418/2022|2022-01-28;HongKong/HKU-220213-417/2022|2022-01-28;HongKong/HK-HKPU-PU22TM232300/2022|2022-02-04;HongKong/HK-HKPU-PU22TM236724/2022|2022-02-07;HongKong/HK-HKPU-13399/2022|2022-01-24;HongKong/WHP5501-S8-iseq/2022|2022-01-23;HongKong/HK-HKPU-13157/2022|2022-01-23;HongKong/HK-HKPU-13267/2022|2022-01-23;HongKong/HKU-220213-368/2022|2022-01-20;HongKong/HK-HKPU-13123/2022|2022-01-21;HongKong/CH22007663/2022|2022-01-19;HongKong/WHP5404/2022|2022-01-19;HongKong/HKU-220326-134/2022|2022-02-11;HongKong/HK-HKPU-PU22TM232289/2022|2022-02-04;HongKong/HK-HKPU-PU22TM234793/2022|2022-02-04;HongKong/HK-HKPU-PU22TM232277/2022|2022-02-04;HongKong/HK-HKPU-PU22TM232288/2022|2022-02-04;HongKong/HK-HKPU-PU22TM231667/2022|2022-02-04;HongKong/HK-HKPU-PU22TM234805/2022|2022-02-04;HongKong/VM22004604/2022|2022-01-26;HongKong/VM22023343/2022|2022-02-13;HongKong/HK-HKPU-PU22TM237956/2022|2022-02-09;HongKong/HK-HKPU-PU22TM232291/2022|2022-02-04;HongKong/HKU-220326-132/2022|2022-01-31;HongKong/WHP5505-S11-iseq/2022|2022-01-25;HongKong/VM22003259/2022|2022-01-21;HongKong/WHP5503-S10-iseq/2022|2022-01-24;HongKong/HKU-220326-127/2022|2022-02-08;HongKong/HKU-220326-131/2022|2022-02-07;HongKong/HK-HKPU-PU22TM237599/2022|2022-02-07;HongKong/HK-HKPU-PU22TM234695/2022|2022-02-04;HongKong/HK-HKPU-PU22TM232298/2022|2022-02-04;HongKong/HK-HKPU-PU22TM236268/2022|2022-02-07;HongKong/HK-HKPU-PU22TM236723/2022|2022-02-07;HongKong/HK-HKPU-PU22TM237613/2022|2022-02-07;HongKong/VM22006141/2022|2022-02-01;HongKong/HKU-220326-128/2022|2022-01-30;HongKong/HK-HKPU-13383/2022|2022-01-24;HongKong/HK-HKPU-PU22TM232295/2022|2022-02-04;HongKong/HK-HKPU-PU22TM235956/2022|2022-02-07;HongKong/HK-HKPU-PU22TM233635/2022|2022-02-04;HongKong/HK-HKPU-PU22TM232301/2022|2022-02-04;HongKong/HK-HKPU-PU22TM236747/2022|2022-02-07;HongKong/HK-HKPU-PU22MV613129/2022|2022-02-10,Slovakia/36682/2021|2021-11-20,2021.88493150685,29.0000000000759,81.8032395119417
2021-12-21,2022-01-05,2022-01-05,3,HongKong/HK-HKPU-12783/2022|2022-01-05;HongKong/HK-HKPU-12770/2022|2022-01-05;HongKong/WHP5222/2022|2022-01-05,Luxembourg/LNS5818578/2021|2021-12-13,2021.94794520548,0,14.9941484760268
2021-08-11,2022-01-01,2022-01-01,1,HongKong/HK-HKPU-12670/2022|2022-01-01,Lebanon/LAU-CVD-658/2021|2021-11-05,2021.84383561644,0,142.21604059349
