tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2022-02-05,2022-02-09,2022-02-09,1,HongKong/HK-HKPU-PU22TM237959/2022|2022-02-09,HongKong/HK-HKPU-PU22MV008887/2022|2022-02-10,2022.1095890411,0,3.47314305199461
2022-01-29,2022-02-06,2022-02-06,1,HongKong/HK-HKPU-PU22V2420455/2022|2022-02-06,Jordan/Biolab0648/2022|2022-02-01,2022.08493150685,0,7.88490224715019
2022-03-08,2022-04-03,2022-04-03,1,HongKong/HK-HKPU-PUB061694365/2022|2022-04-03,Romania/TM_510975/2022|2022-03-08,2022.18082191781,0,25.690617554651
2022-03-26,2022-04-10,2022-04-10,1,HongKong/HK-HKPU-PUB076003010/2022|2022-04-10,Spain/MD-HGUGM-6416961/2022|2022-02-14,2022.12054794521,0,14.7678412035646
2022-02-20,2022-04-02,2022-04-02,1,HongKong/HK-HKPU-PUB076127968/2022|2022-04-02,Japan/IC-7737/2022|2022-04-03,2022.25205479452,0,40.4270119764976
2022-02-11,2022-04-15,2022-04-15,1,HongKong/HK-HKPU-PUB076184333/2022|2022-04-15,Denmark/DCGC-432024/2022|2022-02-01,2022.08493150685,0,62.8824416235443
2022-03-08,2022-04-16,2022-04-16,1,HongKong/HK-HKPU-PUB076186336/2022|2022-04-16,HongKong/HK-HKPU-13706/2022|2022-01-27,2022.07123287671,0,38.3620699496862
2022-02-12,2022-04-14,2022-04-14,1,HongKong/HK-HKPU-PUB076189106/2022|2022-04-14,Sweden/01_SE100_22CS504725/2022|2022-04-10,2022.27123287671,0,60.3702037271762
2022-03-25,2022-04-01,2022-04-01,1,HongKong/HK-HKPU-PUB076363122/2022|2022-04-01,HongKong/CM22000646/2022|2022-04-01,2022.24657534247,0,6.77173475112227
2022-02-15,2022-04-01,2022-04-01,1,HongKong/HK-HKPU-PUB076365192/2022|2022-04-01,Austria/AGES-131555/2022|2022-02-28,2022.15890410959,0,45.0289654017786
2022-02-19,2022-04-08,2022-04-08,1,HongKong/HK-HKPU-PUB076723951/2022|2022-04-08,Georgia/Tb-sNGS4524/2022|2022-02-13,2022.11780821918,0,47.2503208602984
2022-02-08,2022-04-04,2022-04-04,1,HongKong/HK-HKPU-PUB076780998/2022|2022-04-04,Turkey/HSGM-G7606/2022|2022-03-11,2022.18904109589,0,54.7662046217044
2022-02-11,2022-04-15,2022-04-15,1,HongKong/HK-HKPU-PUB076846646/2022|2022-04-15,Greece/17322/2022|2022-03-18,2022.20821917808,0,63.0114884568309
2022-02-04,2022-04-01,2022-04-01,1,HongKong/HK-HKPU-PUB076900101/2022|2022-04-01,Bangladesh/IEDCR-ideSHi-GSB01-267/2022|2022-02-07,2022.10136986301,0,56.0926465437331
2022-02-02,2022-04-18,2022-04-18,1,HongKong/HK-HKPU-PUB087388717/2022|2022-04-18,Algeria/16618/2022|2022-02-22,2022.14246575342,0,74.6332123060836
2022-04-05,2022-04-08,2022-04-08,1,HongKong/HK-HKPU-PUB089617950/2022|2022-04-08,HongKong/CM22000706/2022|2022-04-08,2022.26575342466,0,2.26162725434392
2022-02-06,2022-04-18,2022-04-18,1,HongKong/HK-HKPU-PUB089619406/2022|2022-04-18,Myanmar/DSMRC-091/2022|2022-02-19,2022.13424657534,0,71.1362491022362
2022-03-06,2022-04-06,2022-04-06,1,HongKong/HK-HKPU-PUB090590297/2022|2022-04-06,Denmark/DCGC-342412/2022|2022-01-23,2022.0602739726,0,30.2415200285543
2022-03-15,2022-04-10,2022-04-10,1,HongKong/HK-HKPU-PUB092930508/2022|2022-04-10,Russia/SPE-RII-MH66277S/2022|2022-03-01,2022.16164383562,0,26.1374645178785
2022-04-05,2022-04-11,2022-04-11,1,HongKong/HK-HKPU-PUB092934155/2022|2022-04-11,Netherlands/NH-RIVM-96187/2022|2022-03-26,2022.2301369863,0,5.89169047045402
2022-03-20,2022-04-17,2022-04-17,1,HongKong/HK-HKPU-PUB092944185/2022|2022-04-17,Australia/QLD0x00DDB1/2022|2022-03-28,2022.23561643836,0,27.3497239918447
2022-04-02,2022-04-06,2022-04-06,1,HongKong/HK-HKPU-PUB09299770A/2022|2022-04-06,HongKong/CM22000689/2022|2022-04-06,2022.2602739726,0,3.49204227376958
2022-02-11,2022-04-05,2022-04-05,1,HongKong/HK-HKPU-PUB092998382/2022|2022-04-05,Reunion/CHU79800010925102/2022|2022-01-29,2022.07671232877,0,52.3975718378176
2022-02-11,2022-04-19,2022-04-19,1,HongKong/HK-HKPU-PUB093072424/2022|2022-04-19,Guam/GU-H228890/2022|2022-02-15,2022.12328767123,0,66.3930109827845
2022-03-25,2022-04-19,2022-04-19,1,HongKong/HK-HKPU-PUB093392844/2022|2022-04-19,Tianjin/IVDC-591/2022|2022-03-07,2022.17808219178,0,24.8148660052038
2021-12-11,2022-01-13,2022-01-13,1,HongKong/HKU-220213-355/2022|2022-01-13,Israel/CVL-9002183/2022|2022-01-04,2022.00821917808,0,32.492900058262
2022-01-11,2022-01-13,2022-01-13,1,HongKong/HKU-220213-358/2022|2022-01-13,HongKong/VM22005972/2022|2022-02-02,2022.08767123288,0,2.0147967404057
2022-01-18,2022-01-20,2022-01-20,1,HongKong/HKU-220213-371/2022|2022-01-20,HongKong/VM22000059/2022|2022-01-01,2022,0,1.32627954281475
2022-01-17,2022-01-21,2022-01-21,1,HongKong/HKU-220213-394/2022|2022-01-21,HongKong/HK-HKPU-13739/2022|2022-01-27,2022.07123287671,0,3.43332340198572
2022-01-19,2022-01-22,2022-01-22,1,HongKong/HKU-220213-403/2022|2022-01-22,HongKong/CH22015243/2022|2022-01-31,2022.08219178082,0,3.19107208480432
2022-01-22,2022-01-26,2022-01-26,1,HongKong/HKU-220213-412/2022|2022-01-26,Pakistan/NIH-B36-S1/2022|2022-01-17,2022.04383561644,0,4.16976151975064
2022-02-12,2022-02-25,2022-02-25,1,HongKong/HKU-220326-109/2022|2022-02-25,Iran/AQ0154/2022|2022-02-08,2022.10410958904,0,12.4049964847291
2021-12-28,2022-01-01,2022-01-01,1,HongKong/VM22000059/2022|2022-01-01,HongKong/VM22000090/2022|2022-01-01,2022,0,4.06482527133903
