time	incidence	incidence_Upper	incidence_Lower	k	generation_time
2022.051	602	2195	201	0.15	2
2022.0584	1245	3286	601	0.15	2
2022.0659	2397	5115	1359	0.15	2
2022.0733	4014	7645	2428	0.15	2
2022.0808	5985	10775	3684	0.15	2
2022.0882	8202	14332	5061	0.15	2
2022.0957	10396	17704	6495	0.15	2
2022.1031	12464	20649	7962	0.15	2
2022.1106	14632	23594	9576	0.15	2
2022.118	18423	29387	12108	0.15	2
2022.1255	23864	38075	15573	0.15	2
2022.1329	31814	51681	20168	0.15	2
2022.1404	42690	71380	25882	0.15	2
2022.1478	56479	97151	32710	0.15	2
2022.1553	107698	237902	50592	0.15	2
2022.1627	197435	497568	79756	0.15	2
2022.1702	303760	790599	115931	0.15	2
2022.1776	414859	1076467	156100	0.15	2
2022.1851	532510	1364000	200660	0.15	2
2022.1925	645476	1643100	244315	0.15	2
2022.2	753504	1913100	286954	0.15	2
2022.2075	864804	2204581	332952	0.15	2
2022.2149	975759	2514652	381571	0.15	2
2022.2224	1093905	2863798	436174	0.15	2
2022.2298	1201420	3161846	485498	0.15	2
2022.2373	1301317	3416599	530917	0.15	2
2022.2447	1386496	3623586	569401	0.15	2
2022.2522	1457414	3799582	601379	0.15	2
2022.2596	1503998	3919727	622307	0.15	2
2022.2671	1535873	4002794	636555	0.15	2
2022.2745	1554589	4052281	644817	0.15	2
2022.0137	36	270	7	0.15	3
2022.0212	78	510	16	0.15	3
2022.0286	126	730	26	0.15	3
2022.0361	190	950	44	0.15	3
2022.0435	281	1194	80	0.15	3
2022.051	401	1464	134	0.15	3
2022.0584	830	2191	401	0.15	3
2022.0659	1598	3410	906	0.15	3
2022.0733	2676	5097	1618	0.15	3
2022.0808	3990	7183	2456	0.15	3
2022.0882	5468	9554	3374	0.15	3
2022.0957	6931	11803	4330	0.15	3
2022.1031	8309	13766	5308	0.15	3
2022.1106	9755	15729	6384	0.15	3
2022.118	12282	19591	8072	0.15	3
2022.1255	15909	25383	10382	0.15	3
2022.1329	21209	34454	13445	0.15	3
2022.1404	28460	47587	17255	0.15	3
2022.1478	37653	64768	21806	0.15	3
2022.1553	71799	158601	33728	0.15	3
2022.1627	131624	331712	53171	0.15	3
2022.1702	202506	527066	77287	0.15	3
2022.1776	276572	717645	104066	0.15	3
2022.1851	355006	909333	133774	0.15	3
2022.1925	430318	1095400	162877	0.15	3
2022.2	502336	1275400	191303	0.15	3
2022.2075	576536	1469721	221968	0.15	3
2022.2149	650506	1676435	254380	0.15	3
2022.2224	729270	1909199	290783	0.15	3
2022.2298	800947	2107897	323666	0.15	3
2022.2373	867545	2277733	353945	0.15	3
2022.2447	924331	2415724	379601	0.15	3
2022.2522	971609	2533055	400919	0.15	3
2022.2596	1002665	2613151	414871	0.15	3
2022.2671	1023915	2668530	424370	0.15	3
2022.2745	1036392	2701521	429878	0.15	3
2022.0137	43	321	9	0.2	2
2022.0212	92	605	19	0.2	2
2022.0286	149	864	30	0.2	2
2022.0361	224	1122	52	0.2	2
2022.0435	332	1410	94	0.2	2
2022.051	473	1728	158	0.2	2
2022.0584	993	2609	481	0.2	2
2022.0659	1923	4086	1093	0.2	2
2022.0733	3229	6129	1956	0.2	2
2022.0808	4821	8658	2971	0.2	2
2022.0882	6591	11497	4071	0.2	2
2022.0957	8337	14180	5211	0.2	2
2022.1031	9982	16524	6379	0.2	2
2022.1106	11708	18868	7664	0.2	2
2022.118	14729	23484	9681	0.2	2
2022.1255	19073	30421	12447	0.2	2
2022.1329	25464	41358	16141	0.2	2
2022.1404	34209	57198	20736	0.2	2
2022.1478	45299	77924	26227	0.2	2
2022.1553	86913	192279	40756	0.2	2
2022.1627	160045	403901	64523	0.2	2
2022.1702	247561	645097	94298	0.2	2
2022.1776	339007	880396	127362	0.2	2
2022.1851	436481	1118617	164280	0.2	2
2022.1925	529983	1349627	200413	0.2	2
2022.2	619259	1572760	235651	0.2	2
2022.2075	712243	1816273	274078	0.2	2
2022.2149	805156	2075924	314792	0.2	2
2022.2224	905612	2372795	361219	0.2	2
2022.2298	997046	2626262	403166	0.2	2
2022.2373	1082469	2844129	442005	0.2	2
2022.2447	1155394	3021338	474952	0.2	2
2022.2522	1216928	3174046	502699	0.2	2
2022.2596	1256998	3277390	520700	0.2	2
2022.2671	1284407	3348818	532952	0.2	2
2022.2745	1300623	3391697	540112	0.2	2
2022.0137	29	214	6	0.2	3
2022.0212	61	403	12	0.2	3
