Time	Mean	Median	Upper	Lower
2022.317	3.8040889766568595	4.008788791734266	223.8330399847402	0.06618846840817294
2022.298161111111	3.811801511283943	4.121095019365743	77.13114107798614	0.20298086851711658
2022.2793222222222	3.9336879375103275	3.6967127063239844	10.776260913280215	1.682427945833655
2022.2604833333332	20.582763060751216	19.627788422451257	53.351491666420024	9.2421129168731
2022.2416444444443	44.866027659882526	42.71607247608752	108.25007673106464	20.284007954237918
2022.2228055555554	58.46704255802226	56.686309474407444	173.3514363909772	27.032021306412272
2022.2039666666665	60.787956214647984	57.74027836464019	152.60575437018215	24.187608064913974
2022.1851277777776	66.81942580112015	63.357896436889654	162.9506348531346	25.206702584328177
2022.1662888888886	59.667756716645954	55.520753307369965	173.65683879116136	19.226128902296264
2022.1474499999997	8.904236602517694	8.750192404993903	16.647341065760447	4.405460877139797
2022.1286111111108	4.08105912293103	4.044974160076543	6.593319855285305	2.5643576701244
2022.1097722222219	1.3129146620560772	1.3054908963978886	1.7260903471851765	1.0031548149547656
2022.090933333333	1.53482743997421	1.5196977191261467	2.468922604200789	0.9477800081102116
2022.072094444444	0.9611494623323945	0.9637150639980883	1.4951983091456946	0.6431011912613867
2022.053255555555	0.13077715585409577	0.12888672632192885	0.28842451043393175	0.05921860552007697
2022.0344166666662	0.05499345524870315	0.05442587262910628	0.22074388106121323	0.011628742882537216
2022.0155777777773	0.03674443020862774	0.03568306710736134	0.27452564235965526	0.007274447659091302
2021.9967388888883	0.023565216511659055	0.02421371957803731	0.2924304753354851	0.0021046860526418194
2021.9778999999994	0.017296716056613464	0.019489205534071262	0.3719419724800036	8.91739951322826E-4
2021.9778999999994	0.017296716056613464	0.019489205534071262	0.3719419724800036	8.91739951322826E-4
2021.9590611111105	0.017296716056613464	0.019489205534071262	0.3719419724800036	8.91739951322826E-4
